Sector,Stock,Date,CNN,LSTM,Hybrid,Transformer
Metal,HINDALCO,13-11-2025,812.010009765625,762.9500122070312,783.3900146484375,515.1599731445312
Metal,JSWSTEEL,07-11-2025,1182.6300048828125,1149.93994140625,1134.52001953125,795.6799926757812
Metal,JSWSTEEL,10-11-2025,1183.97998046875,1155.06005859375,1150.969970703125,795.9199829101562
Metal,JSWSTEEL,11-11-2025,1179.010009765625,1143.6300048828125,1154.199951171875,796.2000122070312
Metal,JSWSTEEL,12-11-2025,1168.3699951171875,1150.219970703125,1150.969970703125,796.4400024414062
Metal,JSWSTEEL,13-11-2025,1164.3299560546875,1145.280029296875,1146.1099853515625,796.6900024414062
Metal,TATASTEEL,07-11-2025,175.97999572753906,174.58999633789062,179.00999450683594,124.75
Metal,TATASTEEL,10-11-2025,175.10000610351562,173.52000427246094,174.13999938964844,124.7699966430664
Metal,TATASTEEL,11-11-2025,174.7899932861328,174.60000610351562,178.74000549316406,124.80000305175781
Metal,TATASTEEL,12-11-2025,172.91000366210938,175.0,177.16000366210938,124.81999969482422
Metal,TATASTEEL,13-11-2025,170.8300018310547,173.99000549316406,179.08999633789062,124.86000061035156
Metal,VEDL,07-11-2025,498.6000061035156,490.1300048828125,477.8299865722656,269.3999938964844
Metal,VEDL,10-11-2025,498.1700134277344,487.7699890136719,471.25,269.7200012207031
Metal,VEDL,11-11-2025,495.8299865722656,485.6300048828125,472.1600036621094,270.0
Metal,VEDL,12-11-2025,496.8599853515625,481.6499938964844,469.92999267578125,270.2699890136719
Metal,VEDL,13-11-2025,498.7200012207031,488.8599853515625,472.5299987792969,270.55999755859375
OilGas,BPCL,07-11-2025,345.0199890136719,327.4700012207031,351.7799987792969,211.41000366210938
OilGas,BPCL,10-11-2025,348.3399963378906,331.4800109863281,349.70001220703125,211.58999633789062
OilGas,BPCL,11-11-2025,347.79998779296875,327.9200134277344,348.25,211.72000122070312
OilGas,BPCL,12-11-2025,338.739990234375,327.2200012207031,353.1000061035156,211.8800048828125
OilGas,BPCL,13-11-2025,348.80999755859375,328.3800048828125,346.2699890136719,212.00999450683594
OilGas,GAIL,07-11-2025,181.75999450683594,183.36000061035156,184.17999267578125,138.32000732421875
OilGas,GAIL,10-11-2025,182.47000122070312,180.86000061035156,181.1199951171875,138.41000366210938
OilGas,GAIL,11-11-2025,181.5399932861328,181.19000244140625,182.64999389648438,138.52000427246094
OilGas,GAIL,12-11-2025,183.25,182.8800048828125,181.07000732421875,138.6199951171875
OilGas,GAIL,13-11-2025,179.36000061035156,182.6699981689453,183.6999969482422,138.72999572753906
OilGas,IOC,07-11-2025,159.6999969482422,155.75,166.00999450683594,108.8499984741211
OilGas,IOC,10-11-2025,160.25999450683594,158.4199981689453,165.6999969482422,108.9000015258789
OilGas,IOC,11-11-2025,161.30999755859375,154.91000366210938,165.6699981689453,108.95999908447266
OilGas,IOC,12-11-2025,159.2899932861328,156.64999389648438,164.97000122070312,109.01000213623047
OilGas,IOC,13-11-2025,158.14999389648438,157.1199951171875,165.1199951171875,109.05000305175781
OilGas,ONGC,07-11-2025,250.5,252.36000061035156,249.0800018310547,196.6699981689453
OilGas,ONGC,10-11-2025,251.30999755859375,253.8699951171875,250.6699981689453,196.7899932861328
